127.0.0.1 - - [15/Jan/2019:03:03:09 +0000] "POST /wp-cron.php?doing_wp_cron=1547521388.5921690464019775390625 HTTP/1.0" 499 0 "http://reconproject1.mml.local/wp-cron.php?doing_wp_cron=1547521388.5921690464019775390625" "WordPress/5.0.3; http://reconproject1.mml.local"
127.0.0.1 - - [15/Jan/2019:03:15:30 +0000] "GET / HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:15:33 +0000] "GET /wp-admin/setup-config.php HTTP/1.0" 200 11259 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:15:34 +0000] "GET /favicon.ico HTTP/1.0" 302 0 "http://reconproject1.mml.local/wp-admin/setup-config.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:15:35 +0000] "GET /wp-admin/setup-config.php HTTP/1.0" 200 11259 "http://reconproject1.mml.local/wp-admin/setup-config.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:15:42 +0000] "POST /wp-admin/setup-config.php?step=0 HTTP/1.0" 200 2382 "http://reconproject1.mml.local/wp-admin/setup-config.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:15:42 +0000] "GET /favicon.ico HTTP/1.0" 302 0 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=0" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:15:43 +0000] "GET /wp-admin/setup-config.php HTTP/1.0" 200 11259 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=0" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:16:03 +0000] "GET /wp-admin/setup-config.php?step=1 HTTP/1.0" 200 2786 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=0" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:16:03 +0000] "GET /favicon.ico HTTP/1.0" 302 0 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:16:04 +0000] "GET /wp-admin/setup-config.php HTTP/1.0" 200 11259 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:16:28 +0000] "POST /wp-admin/setup-config.php?step=2 HTTP/1.0" 500 3713 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:16:28 +0000] "GET /favicon.ico HTTP/1.0" 302 0 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:16:29 +0000] "GET /wp-admin/setup-config.php HTTP/1.0" 200 11259 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:16:31 +0000] "GET /favicon.ico HTTP/1.0" 302 0 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:16:33 +0000] "POST /wp-admin/setup-config.php?step=2 HTTP/1.0" 500 3713 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:16:33 +0000] "GET /wp-admin/setup-config.php HTTP/1.0" 499 0 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
